Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,175.60000610351562,180.74000549316406,175.55999755859375,180.5,119.48531341552734,814205
2020-01-03,178.89999389648438,179.24000549316406,175.0,176.63999938964844,116.93012237548828,948457
2020-01-06,175.0,176.6199951171875,173.17999267578125,176.6199951171875,116.91686248779297,658053
2020-01-07,177.13999938964844,178.60000610351562,176.05999755859375,176.05999755859375,116.54617309570312,932694
2020-01-08,175.0,176.86000061035156,174.17999267578125,176.82000732421875,117.04928588867188,840853
2020-01-09,179.0,182.36000061035156,177.8800048828125,181.72000122070312,120.29293060302734,1338153
2020-01-10,182.0,186.83999633789062,181.17999267578125,185.52000427246094,122.80840301513672,1518740
2020-01-13,186.02000427246094,186.39999389648438,184.67999267578125,185.27999877929688,122.64952850341797,812123
2020-01-14,185.3000030517578,186.32000732421875,183.5800018310547,185.22000122070312,122.60980224609375,767691
2020-01-15,185.13999938964844,185.47999572753906,181.02000427246094,182.6199951171875,120.88868713378906,1068497
2020-01-16,183.10000610351562,183.27999877929688,178.63999938964844,179.9199981689453,119.10137176513672,925738
2020-01-17,181.24000549316406,183.39999389648438,180.67999267578125,181.36000061035156,120.05461883544922,988847
2020-01-20,181.0,183.25999450683594,180.4199981689453,182.02000427246094,120.49151611328125,422072
2020-01-21,180.60000610351562,183.4199981689453,179.75999450683594,181.3000030517578,120.01488494873047,649325
2020-01-22,181.89999389648438,183.97999572753906,178.6999969482422,179.13999938964844,118.58503723144531,1049016
2020-01-23,178.1999969482422,180.1199951171875,176.3800048828125,176.5800018310547,116.89041137695312,837482
2020-01-24,178.5,179.5,176.74000549316406,177.52000427246094,117.51264953613281,895854
2020-01-27,174.5,174.8000030517578,170.47999572753906,171.63999938964844,113.62026977539062,1356742
2020-01-28,173.0,173.05999755859375,170.5,172.4600067138672,114.1631088256836,985026
2020-01-29,173.0,173.97999572753906,169.4600067138672,169.9199981689453,112.481689453125,907400
2020-01-30,168.22000122070312,170.39999389648438,163.55999755859375,164.0,108.56283569335938,1649026
2020-01-31,163.0,164.89999389648438,161.9600067138672,162.3800048828125,107.49046325683594,1425734
2020-02-03,162.4600067138672,163.47999572753906,161.3800048828125,162.8000030517578,107.76847839355469,858700
2020-02-04,163.36000061035156,167.55999755859375,162.72000122070312,167.0800018310547,110.60171508789062,1113395
2020-02-05,167.5,172.27999877929688,165.66000366210938,170.63999938964844,112.95830535888672,1263246
2020-02-06,172.52000427246094,173.72000122070312,170.16000366210938,170.39999389648438,112.79943084716797,773462
2020-02-07,169.24000549316406,169.3800048828125,165.1199951171875,166.4199981689453,110.16478729248047,1250212
2020-02-10,165.94000244140625,167.22000122070312,163.63999938964844,164.3800048828125,108.81439208984375,777603
2020-02-11,166.0,168.5800018310547,165.32000732421875,167.44000244140625,110.84001922607422,1067927
2020-02-12,168.47999572753906,173.55999755859375,168.44000244140625,173.13999938964844,114.61322784423828,1101434
2020-02-13,171.5,172.86000061035156,169.86000061035156,172.5399932861328,114.2160415649414,948791
2020-02-14,172.5,173.47999572753906,169.9600067138672,170.4600067138672,112.83915710449219,798452
2020-02-17,173.3000030517578,174.39999389648438,172.33999633789062,172.52000427246094,114.20281982421875,724621
2020-02-18,170.47999572753906,172.17999267578125,168.47999572753906,169.36000061035156,112.1109848022461,725402
2020-02-19,170.6999969482422,171.39999389648438,168.8800048828125,170.1199951171875,112.61408233642578,564040
2020-02-20,170.3000030517578,172.77999877929688,169.0800018310547,169.44000244140625,112.16394805908203,796069
2020-02-21,168.8800048828125,170.52000427246094,165.1999969482422,166.02000427246094,109.90001678466797,1325162
2020-02-24,160.5,160.86000061035156,156.32000732421875,157.0,103.9290542602539,2141019
2020-02-25,159.66000366210938,159.67999267578125,154.60000610351562,155.3000030517578,102.80372619628906,1386340
2020-02-26,153.1999969482422,157.5,150.8000030517578,155.66000366210938,103.04203033447266,1858288
2020-02-27,151.60000610351562,153.0800018310547,146.67999267578125,148.82000732421875,98.51416015625,2502014
2020-02-28,141.97999572753906,152.5,140.8800048828125,148.5800018310547,98.35528564453125,3739464
2020-03-02,154.5,155.3800048828125,147.97999572753906,149.63999938964844,99.05696105957031,2635031
2020-03-03,152.0,156.4199981689453,150.6999969482422,153.10000610351562,101.3473892211914,2509384
2020-03-04,153.5399932861328,156.0,152.63999938964844,154.63999938964844,102.3668212890625,1623774
2020-03-05,155.10000610351562,155.4600067138672,148.74000549316406,150.5,99.62625885009766,1390939
2020-03-06,146.0,148.66000366210938,143.72000122070312,147.1999969482422,97.44176483154297,1797998
2020-03-09,139.10000610351562,139.55999755859375,131.3000030517578,131.72000122070312,87.19449615478516,3019401
2020-03-10,133.67999267578125,141.5,131.44000244140625,131.55999755859375,87.08857727050781,2754193
2020-03-11,133.77999877929688,137.22000122070312,131.74000549316406,132.39999389648438,87.64462280273438,1935512
2020-03-12,124.80000305175781,126.04000091552734,111.08000183105469,112.26000213623047,74.31258392333984,3739053
2020-03-13,117.80000305175781,123.9800033569336,107.58000183105469,110.87999725341797,73.39906311035156,3623209
2020-03-16,104.0,104.0999984741211,94.88999938964844,97.38999938964844,64.4691162109375,3396563
2020-03-17,102.9000015258789,103.5,92.69999694824219,99.08000183105469,65.58783721923828,2333167
2020-03-18,95.62000274658203,97.0999984741211,85.91000366210938,87.19999694824219,57.723655700683594,2663082
2020-03-19,85.66999816894531,92.19999694824219,79.37999725341797,87.83999633789062,58.14731216430664,2930561
2020-03-20,93.69999694824219,97.4800033569336,91.18000030517578,94.12999725341797,62.31109619140625,2942438
2020-03-23,90.01000213623047,96.2699966430664,89.05000305175781,92.25,61.066593170166016,2139740
2020-03-24,98.16999816894531,110.36000061035156,96.0,109.81999969482422,72.69738006591797,2757178
2020-03-25,115.5,120.0,107.73999786376953,114.87999725341797,76.04693603515625,2539388
2020-03-26,111.5,114.9000015258789,109.05999755859375,113.69999694824219,75.26582336425781,1821000
2020-03-27,111.44000244140625,112.76000213623047,104.63999938964844,105.41999816894531,69.78471374511719,1895034
2020-03-30,107.0,109.54000091552734,101.5199966430664,105.0199966430664,69.51992797851562,1153040
2020-03-31,107.08000183105469,108.18000030517578,102.63999938964844,106.83999633789062,70.72471618652344,1645173
2020-04-01,103.0999984741211,103.66000366210938,99.0,99.0,65.5348892211914,1924010
2020-04-02,100.5199966430664,102.72000122070312,97.0199966430664,98.83000183105469,65.42235565185547,1471817
2020-04-03,98.80000305175781,101.9000015258789,97.5999984741211,98.91000366210938,65.47531127929688,1452204
2020-04-06,104.26000213623047,113.91999816894531,103.26000213623047,112.95999908447266,74.77596282958984,2662255
2020-04-07,119.0,121.69999694824219,114.08000183105469,116.37999725341797,77.0398941040039,2370969
2020-04-08,115.0,119.55999755859375,112.87999725341797,118.13999938964844,78.20496368408203,1386924
2020-04-09,120.0,126.30000305175781,119.9800033569336,122.54000091552734,81.11762237548828,2150761
2020-04-14,127.37999725341797,127.9000015258789,123.13999938964844,123.13999938964844,81.51480102539062,1447387
2020-04-15,123.63999938964844,124.41999816894531,115.4800033569336,116.19999694824219,76.92073822021484,1630309
2020-04-16,118.77999877929688,120.45999908447266,115.9000015258789,117.13999938964844,77.5429916381836,1596486
2020-04-17,121.5,124.83999633789062,120.4000015258789,124.5999984741211,82.48127746582031,2322531
2020-04-20,126.5999984741211,127.94000244140625,122.80000305175781,124.73999786376953,82.5739517211914,1362190
2020-04-21,121.5,122.30000305175781,116.23999786376953,116.5,77.11933135986328,1745515
2020-04-22,118.0,119.76000213623047,115.72000122070312,118.77999877929688,78.62861633300781,1053513
2020-04-23,120.0,122.44000244140625,118.05999755859375,120.73999786376953,79.92607879638672,1032621
2020-04-24,118.63999938964844,120.4000015258789,116.77999877929688,117.36000061035156,77.6886215209961,1096882
2020-04-27,122.0999984741211,122.91999816894531,119.66000366210938,122.91999816894531,81.3691635131836,926361
2020-04-28,123.08000183105469,128.94000244140625,122.66000366210938,126.0199966430664,83.42127227783203,1769321
2020-04-29,127.5999984741211,136.8000030517578,126.30000305175781,133.32000732421875,88.25364685058594,2030413
2020-04-30,134.72000122070312,136.60000610351562,126.55999755859375,128.22000122070312,84.87760162353516,1866418
2020-05-04,125.19999694824219,125.5199966430664,120.31999969482422,121.04000091552734,80.12466430664062,1664524
2020-05-05,124.12000274658203,127.36000061035156,123.30000305175781,127.19999694824219,84.202392578125,1240330
2020-05-06,127.0,128.3000030517578,125.73999786376953,126.86000061035156,83.97732543945312,1052322
2020-05-07,127.19999694824219,128.83999633789062,126.63999938964844,127.13999938964844,84.16268157958984,925883
2020-05-08,129.0800018310547,129.97999572753906,127.73999786376953,128.9199981689453,85.34098815917969,839718
2020-05-11,130.24000549316406,131.47999572753906,125.83999633789062,127.30000305175781,84.26859283447266,931126
2020-05-12,126.5,128.25999450683594,125.77999877929688,127.18000030517578,84.18915557861328,809502
2020-05-13,125.0,125.19999694824219,119.44000244140625,119.76000213623047,79.27735137939453,1455973
2020-05-14,118.0,118.58000183105469,111.0999984741211,116.41999816894531,77.06637573242188,1896912
2020-05-15,118.23999786376953,123.18000030517578,118.19999694824219,121.23999786376953,80.2570571899414,1481815
2020-05-18,124.5,132.1999969482422,124.23999786376953,131.27999877929688,86.9032211303711,2465763
2020-05-19,132.39999389648438,133.60000610351562,128.16000366210938,132.25999450683594,87.55194854736328,1677762
2020-05-20,131.25999450683594,134.25999450683594,128.36000061035156,133.5,88.372802734375,1498262
2020-05-21,131.74000549316406,134.72000122070312,130.4199981689453,132.47999572753906,87.69758605957031,1096617
2020-05-22,129.6999969482422,135.17999267578125,128.3000030517578,132.77999877929688,87.89617919921875,1533998
2020-05-25,134.5,134.5,131.16000366210938,133.9600067138672,88.67730712890625,1071253
2020-05-26,135.0,137.8000030517578,134.0,136.83999633789062,90.58377838134766,1489657
2020-05-27,137.24000549316406,146.6999969482422,136.97999572753906,140.1199951171875,92.75502014160156,2983830
2020-05-28,142.60000610351562,142.77999877929688,133.94000244140625,137.22000122070312,90.8353271484375,2347733
2020-05-29,134.4600067138672,134.6199951171875,131.3800048828125,132.5,87.71083068847656,2092400
2020-06-02,135.89999389648438,141.97999572753906,134.75999450683594,140.10000610351562,92.74178314208984,2550624
2020-06-03,141.8800048828125,144.32000732421875,141.36000061035156,143.1199951171875,94.74092102050781,1901615
2020-06-04,139.5,144.44000244140625,137.5399932861328,141.63999938964844,93.76123046875,2515197
2020-06-05,144.27999877929688,150.72000122070312,144.05999755859375,148.97999572753906,98.62007141113281,2604780
2020-06-08,148.0,155.5399932861328,147.66000366210938,148.5,98.30231475830078,1951722
2020-06-09,148.60000610351562,150.1199951171875,141.4199981689453,145.55999755859375,96.35614013671875,2267115
2020-06-10,146.9600067138672,148.27999877929688,141.9600067138672,143.17999267578125,94.78065490722656,1350242
2020-06-11,139.66000366210938,139.67999267578125,132.24000549316406,132.4199981689453,87.65787506103516,2492394
2020-06-12,131.8800048828125,138.0,130.86000061035156,133.9600067138672,88.67730712890625,1905266
2020-06-15,130.13999938964844,137.5800018310547,129.89999389648438,136.36000061035156,90.26603698730469,1522464
2020-06-16,141.47999572753906,141.74000549316406,133.97999572753906,136.5800018310547,90.41165924072266,2317667
2020-06-17,136.6199951171875,138.22000122070312,132.32000732421875,134.13999938964844,88.79646301269531,1704489
2020-06-18,133.39999389648438,135.83999633789062,131.1999969482422,132.5800018310547,87.76378631591797,1551792
2020-06-19,134.16000366210938,134.3800048828125,130.0399932861328,130.67999267578125,86.50605010986328,2353687
2020-06-22,128.82000732421875,131.82000732421875,127.76000213623047,130.27999877929688,86.24125671386719,1032048
2020-06-23,132.44000244140625,136.86000061035156,130.9199981689453,136.1999969482422,90.16011047363281,1575288
2020-06-24,136.1999969482422,137.36000061035156,129.6199951171875,129.6199951171875,85.80435943603516,1227317
2020-06-25,128.9600067138672,133.9199981689453,127.54000091552734,133.05999755859375,88.08153533935547,1158878
2020-06-26,135.0,136.4199981689453,132.5800018310547,133.32000732421875,88.25364685058594,1212361
2020-06-29,132.25999450683594,135.74000549316406,131.8000030517578,134.5800018310547,89.08772277832031,1206735
2020-06-30,135.33999633789062,135.8000030517578,132.97999572753906,134.94000244140625,89.32603454589844,1118035
2020-07-01,134.6999969482422,135.10000610351562,131.55999755859375,133.32000732421875,88.25364685058594,871989
2020-07-02,135.39999389648438,139.22000122070312,134.5399932861328,137.1999969482422,90.82207489013672,1351156
2020-07-03,139.9199981689453,140.1199951171875,134.86000061035156,135.5800018310547,89.74969482421875,654388
2020-07-06,139.44000244140625,141.5800018310547,137.24000549316406,138.83999633789062,91.90769958496094,912269
2020-07-07,138.05999755859375,139.39999389648438,136.44000244140625,138.02000427246094,91.3648910522461,539551
2020-07-08,137.1999969482422,138.5399932861328,134.9199981689453,135.4199981689453,89.6437759399414,727919
2020-07-09,135.63999938964844,138.13999938964844,134.86000061035156,135.60000610351562,89.76293182373047,783177
2020-07-10,134.05999755859375,140.47999572753906,133.82000732421875,139.97999572753906,92.662353515625,1215035
2020-07-13,142.02000427246094,143.16000366210938,138.66000366210938,139.3000030517578,92.21222686767578,984355
2020-07-14,137.5,139.60000610351562,135.44000244140625,137.3800048828125,90.94124603271484,1089940
2020-07-15,139.0,143.72000122070312,139.0,141.16000366210938,93.44348907470703,1385474
2020-07-16,140.3000030517578,142.33999633789062,140.02000427246094,141.33999633789062,93.5626449584961,916245
2020-07-17,144.0,146.8800048828125,143.8000030517578,144.44000244140625,95.61473083496094,1432507
2020-07-20,144.8800048828125,144.97999572753906,141.55999755859375,144.75999450683594,95.8265609741211,786180
2020-07-21,147.63999938964844,148.77999877929688,144.67999267578125,145.0,95.98544311523438,1146193
2020-07-22,145.32000732421875,145.6999969482422,142.5,144.33999633789062,95.54853820800781,773527
2020-07-23,145.0,148.86000061035156,144.32000732421875,144.5399932861328,95.68092346191406,1161863
2020-07-24,142.97999572753906,143.25999450683594,141.10000610351562,142.02000427246094,94.01277923583984,849191
2020-07-27,142.75999450683594,142.8000030517578,140.33999633789062,141.24000549316406,93.4964370727539,583264
2020-07-28,141.60000610351562,142.9600067138672,139.8800048828125,141.8000030517578,93.86713409423828,843198
