Date,Open,Close
2020-01-02 00:00:00-05:00,175.3436917911451,177.81443786621094
2020-01-03 00:00:00-05:00,176.57465106178702,177.18569946289062
2020-01-06 00:00:00-05:00,176.76062401917957,179.17823791503906
2020-01-07 00:00:00-05:00,178.7708636353877,179.44390869140625
2020-01-08 00:00:00-05:00,179.43505536162516,182.34860229492188
2020-01-09 00:00:00-05:00,183.18988892395592,184.5093994140625
2020-01-10 00:00:00-05:00,184.58906807637683,183.55294799804688
2020-01-13 00:00:00-05:00,183.6503720312893,182.87991333007812
2020-01-14 00:00:00-05:00,181.95006063644578,183.59722900390625
2020-01-15 00:00:00-05:00,183.59726769613405,185.7669219970703
2020-01-16 00:00:00-05:00,186.06799785652794,186.72332763671875
2020-01-17 00:00:00-05:00,187.22811011299817,187.72402954101562
2020-01-21 00:00:00-05:00,187.18381152279102,186.9978485107422
2020-01-22 00:00:00-05:00,188.7690386283922,187.245849609375
2020-01-23 00:00:00-05:00,186.44879418890005,188.99925231933594
2020-01-24 00:00:00-05:00,189.6722718126693,187.06869506835938
2020-01-27 00:00:00-05:00,184.0577015883562,185.3860626220703
2020-01-28 00:00:00-05:00,185.87317662527872,186.3159637451172
2020-01-29 00:00:00-05:00,187.4671828289813,189.9025115966797
2020-01-30 00:00:00-05:00,189.51289028211752,191.4434356689453
2020-01-31 00:00:00-05:00,190.85895558029878,189.48631286621094
2020-02-03 00:00:00-05:00,190.38961357075178,190.557861328125
2020-02-04 00:00:00-05:00,191.38143051701553,190.06192016601562
2020-02-05 00:00:00-05:00,190.96521337437687,189.8405303955078
2020-02-06 00:00:00-05:00,190.15052497926808,188.51220703125
2020-02-07 00:00:00-05:00,188.23763978864147,187.39634704589844
2020-02-10 00:00:00-05:00,187.1572755311542,188.8133087158203
2020-02-11 00:00:00-05:00,189.5128519917236,191.04489135742188
2020-02-12 00:00:00-05:00,191.2840362520076,192.5769805908203
2020-02-13 00:00:00-05:00,191.9127539123552,192.54150390625
2020-02-14 00:00:00-05:00,192.61241733270262,192.24932861328125
2020-02-18 00:00:00-05:00,191.21319182179536,191.4168701171875
2020-02-19 00:00:00-05:00,192.00137690962896,190.95640563964844
2020-02-20 00:00:00-05:00,191.41685667758105,190.46929931640625
2020-02-21 00:00:00-05:00,190.6109817607597,191.16888427734375
2020-02-24 00:00:00-05:00,186.48422391961907,189.0878143310547
2020-02-25 00:00:00-05:00,190.02654283760222,187.830322265625
2020-02-26 00:00:00-05:00,188.52990457684012,186.0591583251953
2020-02-27 00:00:00-05:00,183.93375635099022,178.0004119873047
2020-02-28 00:00:00-05:00,174.6587284604277,173.02798461914062
2020-03-02 00:00:00-05:00,172.70717127447804,180.4955291748047
2020-03-03 00:00:00-05:00,180.0054284916039,177.7865447998047
